Site ID,Surface Area (m^2)
1,14319.37
2,39993.36
3,397.41
4,26879.55
5,16269.36
6,965.95
7,1934.51
8,6577.46
9,6169.93
10,22557.26
11,13095.92
12,17414.39
13,17956.18
14,5455.61
15,32143.8
16,5991.67
17,6895.11
18,13403.48
19,4101.67
20,3900.01
21,13695.43
22,12581.06
23,3511.9
24,15529.93
25,4764.16
26,2461.34
27,1482.55
28,7315.88
29,11091.19
30,1864.39
31,2039.04
32,536.15
33,4788.94
34,4507.78
35,6369.08
36,292.32
37,31.96
38,111.74
39,15648.48
40,292.55
41,174.74
42,1364.91
43,158.66
44,7938.64
45,9011.99
46,17734.94
47,298.14
48,380.51
49,365.11
50,2842.34
51,3632.53
52,259.58
53,4499.16
54,5426.75
55,478.27
56,332.45
57,108.22
58,240.12
59,110.86
60,224.69
61,1966.9
62,13045.67
63,8230.86
64,678.21
65,5070.12
66,3396.08
67,14013.5
68,14616.5
69,8295.89
70,1575.98
71,475.29
72,627.43
73,2044.56
74,984.06
75,1529.84
76,2088.76
77,424.41
78,433.09
79,146.3
80,34.65
81,171.42
82,174.08
